"Site_ID","Abudefduf saxatilis","Acanthostracion polygonium","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aluterus scriptus","Anisotremus virginicus","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Calamus calamus","Calamus penna","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Caranx bartholomaei","Caranx latus","Caranx ruber","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon striatus","Diodon hystrix","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus striatus","Eucinostomus gula","Ginglymostoma cirratum","Gymnothorax funebris","Gymnothorax moringa","Haemulon aurolineatum","Haemulon carbonarium","Haemulon flavolineatum","Haemulon plumierii","Haemulon sciurus","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres radiatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoplectrus puella","Kyphosus sectatrix","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus apodus","Lutjanus griseus","Lutjanus mahogoni","Lutjanus synagris","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca venenosa","Myripristis jacobus","Ocyurus chrysurus","Pomacanthus arcuatus","Pomacanthus paru","Pseudupeneus maculatus","Pterois volitans","Scarus iseri","Scarus taeniopterus","Scorpaena plumieri","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Stegastes leucostictus","Stegastes partitus","Stegastes planifrons","Stegastes variabilis","Synodus intermedius","Thalassoma bifasciatum","Fish_biomass"
"2017_post-Mikes Mazes",73.4518337359143,128.278721434375,0,0,0,347.186710696416,0,0,0,283.864405854203,0,0,74.9062528601087,0,0,0,0,0,0,0,409.439242516113,214.51982994328,90.8639083095322,40.8663506016564,40.8593742322454,0,40.8,728.187804098881,0,0,2148.7436711848,0,0,0,49.4404367403219,2711.9797459816,154.381353561419,0,0,16.1195941223545,0,0,0,278.434231320885,95.625,0,0,0,0,0,0,0,1838.20346223162,0,0,0,0,184.411338190399,0,592.111928917104,0,0,0,798.786081844636,0,0,374.313722681258,0,0,656.4375,0,16.1945170928181,0,0,1090.59025979653,0,744.992130460482,0,2.90552650571861,0,0,0,0,14226.8949349147
"2017_post-Moonscape",367.523123023141,0,25.0543484373011,0,25.475904808617,798.2695705779,0,0,0,136.001500095379,18.7002688899104,0,0,0,0,0,0,0,0,0,82.6604581872151,214.51982994328,68.1479312321492,0,143.007809812859,0,0,0,79.9193291916704,0,0,0,0,104.05745386816,0,420.547643689833,66.454492554978,0,0,33.3203606262743,0,336.523464476291,0,379.683042710298,19.125,32087.7763238188,0,0,0,0,0,0,646.774774152081,75.6389756694151,0,0,0,0,0,128.206168082293,0,0,0,1707.62477886614,0,0,286.985164137563,0,0,140.625,0,1.9580716316764,0,50.3917279068652,466.046633303918,0,227.002348006089,0,11.6221060228745,0,0,0,0.38945658880652,39150.0330603118
"2017_post-Proselyte Reef",3390.07862750756,301.304876672912,12.5271742186506,0,0,409.423561291998,221.011771054525,0,0,179.723956962413,0,0,0,0,0,0,0,22761.4118594412,0,9033.33333333333,181.607917342281,230.750088993541,136.295862464298,40.8663506016564,122.578122696736,0,96.9,261.468108124623,345.042995885119,0,0,0,0,0,1129.36959601358,2654.10152988555,51.4604511871395,0,0,36.922288597152,16.3348550839118,468.886457068973,0,412.563491460364,224.541666666667,0,0,0,0,0,0,0,5510.86017467155,0,0,0,0,0,0,1084.53838885484,0,0,0,1398.64126219861,0,560.900492200649,846.762074760728,0,0,36,0,0,0,0,954.803550945584,0,0,0,0,0,0,0,2.93942594354637,53113.9503121297
"2017_post-Shark Hotel",0,0,0,0,25.475904808617,120.578406140993,62.8560365432471,0,0,179.723956962413,0,0,0,0,0,0,0,0,0,9033.33333333333,16.2870009678507,80.1313084340772,22.7159770773831,0,0,269.464673221635,0,124.899717183036,0,0,0,0,0,0,44.9552229530827,598.929789007489,110.75748759163,0,0,0,0,0,0,50.6244056947064,0,0,0,0,0,0,0,0,455.196821171993,0,0,0,0,177.577285457521,0,0,0,0,0,1855.63604894858,0,32.1244764897279,112.772568920512,0,0,51.1875,0,0.652690543892134,0,0,585.487799411456,0,9189.69777259465,0,19.1549156003067,0,0,0,0,23220.2210990581
"2017_pre-Fish Bowl",20.9862382102612,0,25.0543484373011,0,0,107.22998033838,0,0,0,179.723956962413,0,0,69.5763106528859,0,0,0,0,2697.6160180814,0,0,0,25.8740953589513,79.5059197708407,0,10.2148435580614,0,0,17.7673042731874,140.949606466757,0,1126.99205118981,0,0,0,328.142202033297,1652.85531833045,0,0,0,0,0,0,0,239.162194480247,19.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5758343444951,0,0,0,709.582978102061,0,560.900492200649,96.0179848919165,0,0,353.25,0,11.4490352724376,0,41.7423559427647,620.258668639861,0,0,0,0.968508835239538,0,0,0,0,9226.52124637367
"2017_pre-Frenchman Reef",270.648802779615,0,0,0,75.2092086331324,66.3897940987783,0,0,0,0,56.1008066697312,0,0,0,0,0,0,0,0,0,81.4350048392537,129.370476794757,629.103815377629,0,0,0,0,58.6523764104502,0,0,0,0,0,0,22.4776114765413,461.163899588502,0,0,0,0,0,66.4056466399825,131.11468140496,349.394397417564,95.625,0,0,0,0,0,0,0,261.242663154665,0,0,0,0,0,0,109.891001213394,0,0,0,606.606810423048,0,32.1244764897279,157.881596488717,0,0,153.5625,0,0,47.8268460396881,41.7423559427647,304.735973843501,0,0,0,354.043046948949,2.50902652889624,0,0,0,4565.25781920425
"2017_pre-Long Bay Reef",230.848620312874,7.63059568411275,3.13309233316872,0,0,306.399362634715,35.7526778874716,0,0,0,63.7078646453769,0,74.9062528601087,0,0,0,0,0,0,0,140.277688248673,134.388521509203,22.7159770773831,20.4331753008282,20.4296871161227,0,40.8,35.5346085463748,0,0,0,0,38.2106299728042,104.05745386816,332.627415820536,1165.21095098046,0,0,0,16.4099060431787,0,0,0,227.809825626179,11.3333333333333,0,0,0,0,0,7.1828822590662,0,725.860434609652,303.202087969176,0,0,0,0,0,302.702469096195,0,0,0,632.756228846648,0,0,293.208679193332,0,0,144,0,59.3798960069998,0,0,197.149860367967,0,1402.71616290767,0,0,0,0,0,5.87885188709275,7106.65519294487
"2017_pre-Mikes Mazes",839.44952841045,7.63059568411275,0,0,0,97.4818003076186,0,0,35.0210270439947,0,0,0,0,0,0,0,0,1547.42201061193,0,3098.43333333333,0,80.1313084340772,113.579885386915,0,0,0,40.8,83.2664781220243,0,0,0,0,0,0,121.358484957185,169.241068110068,0,0,0,0,0,0,0,76.4498884079469,45.3333333333333,0,0,0,0,0,182.597774032283,0,87.0808877182218,18.9097439173538,0,0,0,0,0,0,0,0,0,212.784357680688,0,0,112.772568920512,0,0,322.3125,0,6.05086290816485,0,100.78345581373,244.98113541329,0,155.357856275233,0,0,0,0,0,0,7799.22988482247
"2017_pre-Moonscape",199.369262997482,0,0,0,0,99.8819641555191,0,0,13.3558660905054,0,0,63.0261901396944,0,0,0,0,0,0,0,0,0,25.8740953589513,22.7159770773831,20.4331753008282,20.4296871161227,0,0,41.6332390610122,0,0,0,0,0,53.0095460071536,98.8808734806439,564.767260958466,0,0,0,2.76801161259408,0,0,0,118.465799864907,133.875,0,0,0,52.1632054313179,0,0,0,2094.6937153118,62.2243279129503,0,0,0,0,0,146.521334951192,0,0,0,964.924207318886,0,454.079075785455,157.881596488717,0,0,121.5,0,16.1945170928181,0,50.3917279068652,155.348877767973,0,0,0,29.0552650571861,0,0,0,0,5783.46380024643
"2017_pre-Proselyte Reef",185.351894628353,0,0,0,0,175.467240553714,0,0,0,0,305.318240926031,0,0,0,0,0,0,0,46.5833736188621,6585.3,170.214095112373,204.87599363459,116.06900482083,0,0,0,0,124.899717183036,140.949606466757,0,0,0,0,0,44.9552229530827,279.355828450217,0,0,0,4.49790674116525,32.6697101678236,336.523464476291,0,422.212234033145,90.6666666666667,0,0,0,0,33.1875,0,0,208.994130523732,0,139.407771283542,0,0,0,9.62225021968401,0,0,0,0,0,277.672628790356,0,157.881596488717,0,0,364.5,0,6.70355345205698,0,0,670.766588451134,0,0,0,0,18.1780775108935,0,0,2.93942594354637,11155.7637230966
"2017_pre-Shark Hotel",37.4228038520704,0,0,0,0,134.627054314111,0,0,0,0,0,0,0,0,0,0,0,0,0,9033.33333333333,48.8610029035522,25.8740953589513,22.7159770773831,0,20.4296871161227,0,0,0,0,0,0,0,0,0,44.9552229530827,139.677914225108,0,0,0,4.10247651079466,0,0,0,253.122028473532,0,2178.11267875106,0,0,0,33.1875,7.1828822590662,0,0,0,0,0,0,57.4683577353067,59.0888507480777,36.630333737798,0,0,0,0,0,166.959718357679,45.1090275682049,0,0,30.375,0,0,0,0,89.6322576453171,0,0,0,100.724918864912,0,0,0,0,12569.5931217855
"2018-Fish Bowl",31.4793573153919,0,0,0,0,197.066491455786,94.2197084899748,0,0,386.325312335673,0,0,0,0,0,0,2768.4730029154,0,0,30487.5,85.1070475561867,106.005403793029,22.7159770773831,0,0,0,17.2125,285.334042912448,485.992602351876,0,0,0,0,0,0,294.780407171913,0,0,0,0,0,0,0,75.9366085420597,19.125,0,0,0,0,0,0,0,3059.71209532396,0,0,0,0,0,19.244500439368,46.2901329316088,0,0,0,894.954859009231,0,0,374.313722681258,0,0,106.3125,0,0,0,0,1195.43121775323,0,39822.0236812435,0,8.60894896491383,0,0,0,0,80884.1651202642
"2018-Frenchman Reef",0,0,12.5271742186506,0,0,516.653541630379,194.008525406851,0,7.04733422601886,0,0,0,0,0,0,0,0,0,313.165417694819,0,0,176.492875918415,102.221896848224,0,72.9773802285391,0,0,0,0,0,0,0,0,109.474161398427,265.194581390912,851.978163057838,0,0,0,62.7234383530317,0,0,0,210.065868681538,128.916666666667,0,0,0,0,0,60.8659246774277,0,1477.1322740236,0,0,0,0,0,33.5729811514593,0,0,0,0,209.98593558298,0,0,157.881596488717,0,0,102.375,0,6.05086290816485,0,0,524.6646293021,0,227.002348006089,0,6.77956184667677,0,0,0,2.93942594354637,5832.69756565107
"2018-Long Bay Reef",283.314215838527,0,0,0,50.951809617234,107.22998033838,188.43941697995,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9474591550659,240.393925302232,150.954070781087,0,275.85051791601,0,40.8,17.7731709398541,0,0,0,0,0,109.474161398427,536.084355129713,1671.5546222769,22.151497518326,0,29.765329937223,58.681624612156,0,0,0,406.171903369791,109.791666666667,0,0,0,0,0,182.597774032283,0,1607.91849974673,0,0,0,0,0,113.632405284765,0,0,15.6474022472003,0,650.590773230712,0,0,144.026977337875,0,0,70.3125,0,0,0,0,2319.51893580121,0,1206.82946943096,0,0,0,0,0,31.7737016537458,10741.178166543
"2018-Mikes Mazes",1875.65665694168,14.8159600980084,0,0,0,341.186301076665,125.712073086494,0,0,248.280188863869,0,56.3115717953328,0,0,0,0,0,0,5.86342332573487,0,140.277688248673,209.501785228834,68.1479312321492,0,40.8593742322454,0,51.6375,59.4005433341995,0,0,0,0,0,0,67.432834429624,204.917497173599,35.6562210578037,0,3.88135658414548,12.307429532384,0,463.359905619888,0,50.6244056947064,19.125,0,0,0,0,0,0,0,69.6647101745774,0,7.47003289529003,0,0,57.4683577353067,0,0,15.8625,0,0,191.443925460093,0,0,112.772568920512,0,0,127.125,0,0,0,113.005261821012,489.96227082658,0,3063.23259086488,0,0,0,0,0,0,8342.96286625429
"2018-Moonscape",1112.27062514385,29.6319201960169,0,0,0,321.689941015141,0,0,0,12.8981804005182,0,0,0,0,0,0,0,0,0,0,36.9576301813566,25.8740953589513,159.011839541681,0,0,0,0,35.5346085463748,0,0,0,0,0,0,292.208949195037,1047.58435668831,95.3583518430428,0,0,60.6662118994475,0,66.4056466399825,10.2878000363427,75.9366085420597,38.25,0,0,0,0,0,0,0,691.503320529812,0,0,0,0,18.466018281787,1.13632405284765,0,0,0,0,647.792351133004,93.9999621133737,64.2489529794558,480.089924459582,0,0,36,0,105.775201047103,0,0,676.728370143578,0,6126.46518172977,0,18.2940373173092,0,0,0,0,12381.0664090157
"2018-Proselyte Reef",1364.10548366698,0,0,0,0,116.978160369142,0,0,0,0,173.900523014156,0,0,0,0,0,0,409.493595844869,0,91462.5,98.9474591550659,106.005403793029,68.1479312321492,0,0,0,0,124.899717183036,0,0,0,0,0,0,170.798921697507,718.355852890762,374.812105297066,0,0,97.4314905119869,0,0,0,198.186531358322,19.125,0,0,0,0,0,0,0,408.678600337009,0,0,0,0,0,9.62225021968401,92.5802658632177,0,0,0,462.528742702097,0,0,115.672533798266,0,0,142.3125,0,10.7963447285454,0,0,2242.02649969308,0,582.915591858272,0,8.60894896491383,18.1780775108935,0,0,47.3100958765997,99644.9186275666
"2018-Shark Hotel",157.396786576959,14.8159600980084,33.4883476123959,0,0,593.557789931901,168.452428108535,0,0,0,88.9512558176385,0,0,0,0,0,0,0,0,0,239.225147403739,77.622286076854,204.443793696447,1.29131548273949,10.2148435580614,0,0,111.734709576988,220.868935658427,0,6941.29547532026,0,0,0,49.4404367403219,541.487608587615,44.302995036652,0,0,56.854047309477,0,66.4056466399825,74.5875328115415,109.85730562716,19.125,0,0,0,0,33.1875,0,0,78.6104194501236,0,0,0,0,66.7013668762002,0,0,0,0,0,42.5568715361376,0,111.082187504252,0,0,0,159.1875,0,18.576885534945,0,50.3917279068652,781.680722467359,0,0,0,48.4254417619769,0,0,0,0,11215.8202707096
"2019-Fish Bowl",0,14.8159600980084,12.5271742186506,0,0,400.186230709224,0,0,0,898.619784812067,0,0,0,0,0,0,89.2746875471294,2069.77901977156,0,0,123.990687280823,346.39932909526,1101.82330166978,0,0,269.464673221635,131.325,258.793983560513,983.949998090556,0,0,0,0,0,0,232.796523708514,0,0,0,80.5979706117725,132.58675532501,392.459027703527,173.913778077366,408.779368509008,0,0,27.0553054579611,0,0,0,0,0,828.931776849175,0,0,0,0,128.604820936369,0,119.550800407205,0,0,0,145.505158992478,83.3478142116305,317.22342219417,300.850251573444,0,0,387,0,34.7714026277631,143.559893183582,100.78345581373,1777.11670882119,0,12252.9303634595,0,34.4357958596553,0,0,0,0,24803.7502243983
"2019-Frenchman Reef",1979.53203061871,29.6319201960169,0,0,0,794.574638344791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6172300614583,25.8740953589513,248.418418646814,68.5160279647485,0,0,40.8,17.7673042731874,0,0,0,0,0,0,242.71696991437,1919.77572470711,356.932325808043,0,0,193.571230688636,0,272.87862433895,0,180.969542882829,83.5833333333333,0,0,0,0,33.1875,0,0,2312.74656741311,86.6291679911931,336.712196146845,0,0,0,456.532412347817,0,0,0,0,794.986261712833,0,280.450246100325,313.646548471138,0,0,279,0,23.9750578992177,0,0,2064.19166791942,0,12752.2369144062,0,0,0,0,0,0,26247.4539575461
"2019-Long Bay Reef",0,38.7949156911455,33.4883476123959,0,0,388.335159837914,0,0,0,0,0,0,0,0,0,0,0,204.746797922435,0,0,257.958737740562,256.108590854139,248.418418646814,0,0,816.109341492503,98.8125,413.880060161706,79.9193291916704,0,0,0,0,53.0095460071536,429.443032635241,881.845911259076,249.362332798103,0,0,0,0,398.433879839895,325.336685839835,217.63411458425,0,0,0,0,0,0,0,0,1181.53249678909,0,0,0,0,0,52.8174815908274,375.206821561461,0,0,0,2015.668653559,0,0,0,0,0,387,0,29.3732302634904,95.7330471438937,0,2543.1021522039,0,12252.9303634595,0,392.478083767497,0,0,0,0,24717.4800324535
"2019-Mikes Mazes",1647.41969950551,29.6319201960169,37.5815226559517,0,0,536.149901691902,94.2197084899748,0,148.644632295944,177.381531572691,444.756279088193,0,0,0,0,0,0,0,0,39520.8333333333,324.332194959926,242.902947659455,45.4319541547661,0,40.8593742322454,579.547779925862,316.2,428.75144575509,690.085991770238,0,0,0,0,109.474161398427,140.560861207138,1760.39133370615,941.178824816106,0,20.5422688332643,36.3416647555037,0,674.964434769305,0,322.667048925019,200.458333333333,0,0,0,0,0,0,0,1006.8954803452,82.3819172898937,197.304424863302,0,0,57.4683577353067,45.9846199108088,147.525766469915,0,0,0,1103.49995739303,0,157.915422029048,96.0179848919165,0,0,389.25,0,23.9750578992177,0,0,2343.58232072328,0,427.557735583039,0,30.9922827276652,0,0,0,34.7131275972922,55656.3736044903
"2019-Moonscape",273.085051076965,0,0,0,0,662.993382288402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2572130751259,534.939687289999,0,0,538.92934644327,0,0,0,0,0,0,0,0,71.9180482168633,2576.46633403981,221.51497518326,0,0,16.1195941223545,0,1005.06474642194,173.913778077366,509.487522826013,57.375,2444.15192341107,0,0,0,0,0,0,2037.69277260639,0,0,0,0,0,0,751.740373635125,0,0,0,291.010317984956,0,237.569422111609,451.090275682049,0,0,440.4375,0,34.7714026277631,0,0,1359.81075598785,0,12252.9303634595,0,26.902986282223,28.9474746559786,0,0,5.87885188709275,27058.999099393
"2019-Proselyte Reef",912.901362146364,0,0,0,0,222.360674590968,94.2197084899748,0,0,0,0,0,0,0,0,0,0,0,0,0,140.277688248673,239.861932948106,436.746674822073,20.4331753008282,40.8593742322454,0,40.8,276.561287833701,199.645508675151,0,0,0,0,0,170.798921697507,527.576930880427,416.81559374386,0,0,0,0,132.811293279965,0,761.719401044876,174.25,0,0,0,0,0,0,0,491.008800710245,0,0,0,0,143.670894338267,19.244500439368,268.080998395842,0,0,0,922.838144383481,70.9751044611795,0,166.581491121977,0,0,265.5,0,0,95.7330471438937,50.3917279068652,636.535700630389,0,9689.00432354137,0,134.209614820083,10.3435520198949,0,0,0,17772.7574278476
"2019-Shark Hotel",35.6606792200713,14.8159600980084,0,0,0,204.711780645999,0,0,0,0,0,0,0,0,0,0,0,0,0,18066.6666666667,305.598604623104,451.856341678391,102.221896848224,0,0,0,58.0125,241.026679287326,1495.68329444741,0,4297.48734236961,0,0,268.502799419888,143.836096433727,513.666253173239,356.932325808043,0,0,36.922288597152,0,132.811293279965,74.5875328115415,1001.78072554985,133.875,0,0,0,0,66.375,25.0719492049878,0,1014.4154665984,0,0,0,0,0,0,381.419310182254,0,0,0,777.332985391003,0,0,987.890315606225,0,0,949.5,0,37.15377106989,0,50.3917279068652,1581.86800262497,0,382.360204281322,0,39.5111762060304,0,0,0,0,34229.9459700302
"2020-Fish Bowl",199.369262997482,0,37.5815226559517,0,242.175534675732,456.827844777241,62.8560365432471,0,0,82.760062954623,0,0,0,0,0,0,0,1179.17267759762,0,0,0,162.771639225378,22.7159770773831,75.1243645840306,291.928657392235,0,0,41.6332390610122,0,0,0,0,0,0,0,1061.20946581889,0,0,0,0,0,193.242087783579,0,122.249922816263,0,0,0,0,0,0,0,0,306.446450539844,86.6291679911931,0,0,0,0,0,91.5758343444951,0,0,0,1113.59032453354,0,64.2489529794558,67.6635413523074,0,0,210.9375,0,26.9908618213636,0,0,1497.12919499295,0,0,0,0,9.08903875544674,0,0,22.1853349665267,7728.10449823779
"2020-Frenchman Reef",1275.44652672034,0,0,0,0,507.0991992318,0,0,0,0,0,0,0,0,0,0,0,0,0,387.304166666667,0,0,519.55281437101,0,72.9773802285391,0,0,41.6332390610122,0,0,0,0,0,0,0,692.048398490895,886.05990073304,0,0,61.53714766192,0,0,149.175065623083,329.058637015592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.782002426788,0,0,0,0,0,0,0,0,0,332.4375,0,18.576885534945,0,0,2069.40884118808,0,718.008399964185,0,0,0,0,0,0,8280.1061049179
