"Site_ID","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonium","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aluterus scriptus","Anisotremus virginicus","Aulostomus maculatus","Azurina cyanea","Azurina multilineata","Balistes vetula","Bodianus rufus","Calamus calamus","Calamus penna","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthigaster rostrata","Caranx bartholomaei","Caranx latus","Caranx ruber","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon striatus","Clepticus parrae","Corvula batabana","Coryphopterus dicrus","Diodon hystrix","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus striatus","Equetus punctatus","Eucinostomus gula","Ginglymostoma cirratum","Gramma loreto","Gymnothorax funebris","Gymnothorax moringa","Haemulon aurolineatum","Haemulon carbonarium","Haemulon flavolineatum","Haemulon plumierii","Haemulon sciurus","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres radiatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoplectrus puella","Kyphosus sectatrix","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus apodus","Lutjanus griseus","Lutjanus mahogoni","Lutjanus synagris","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca venenosa","Myripristis jacobus","Ocyurus chrysurus","Opistognathus aurifrons","Pomacanthus arcuatus","Pomacanthus paru","Pseudupeneus maculatus","Pterois volitans","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scorpaena plumieri","Serranus tabacarius","Serranus tigrinus","Serranus tortugarum","Sparisoma aurofrenatum","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Stegastes adustus","Stegastes diencaeus","Stegastes leucostictus","Stegastes partitus","Stegastes planifrons","Stegastes variabilis","Synodus intermedius","Thalassoma bifasciatum","Fish_abundance","Fish_richness","Fish_density","Year","Site"
"2019-Fish Bowl",0,0,1,1,0,0,17,0,0,0,100,86,5,0,0,0,0,0,0,0,3,13,0,0,3,9,18,0,0,2,0,0,1,4,7,6,0,0,0,3,0,0,0,0,10,0,0,0,5,3,5,2,15,0,0,1,0,0,0,0,0,37,0,0,0,0,2,0,5,0,0,0,1,0,1,2,6,0,0,8,8,0,1,4,2,2,2,19,0,4,0,0,0,4,0,0,0,0,428,42,1.42666666666667,"2019","Fish Bowl"
"2019-Frenchman Reef",132,0,2,0,0,0,31,0,0,0,80,188,0,0,0,0,0,0,0,4,0,0,0,0,2,1,6,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6,30,10,0,0,45,0,3,0,6,3,0,0,0,0,1,0,0,56,2,4,0,0,0,35,0,0,0,0,6,0,0,1,6,0,0,5,6,0,0,2,0,0,0,32,0,2,0,0,0,0,0,0,0,0,712,34,2.37333333333333,"2019","Frenchman Reef"
"2019-Long Bay Reef",0,0,1,1,0,0,23,0,0,0,160,150,0,0,0,0,0,0,0,0,0,4,0,0,7,9,6,0,0,4,0,0,2,3,10,1,0,0,0,2,0,0,1,7,13,3,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,30,0,0,0,0,0,3,6,0,0,0,12,0,0,0,0,0,0,8,10,0,0,3,0,1,0,21,0,4,0,0,0,43,0,0,0,0,562,34,1.87333333333333,"2019","Long Bay Reef"
"2019-Mikes Mazes",157,0,2,3,0,0,55,1,0,2,60,60,3,5,0,0,0,0,0,0,0,0,0,2,8,5,4,0,4,0,0,0,1,7,9,2,3,0,0,1,0,0,1,2,27,21,0,3,3,0,8,0,7,5,0,0,0,0,0,0,0,23,1,2,0,0,2,33,5,0,0,0,5,0,0,2,2,0,0,7,16,0,0,2,0,0,0,24,0,3,0,0,0,32,0,0,0,3,633,47,2.11,"2019","Mikes Mazes"
"2019-Moonscape",8,0,0,0,0,0,20,0,0,0,138,109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,2,72,10,0,0,1,0,8,2,19,3,1,0,0,0,0,0,0,117,0,0,0,0,0,0,17,0,0,0,2,0,0,2,20,0,0,7,13,0,0,4,0,0,0,11,0,4,0,0,0,12,1,0,0,2,632,32,2.10666666666667,"2019","Moonscape"
"2019-Proselyte Reef",87,0,0,0,0,0,18,1,0,0,140,120,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,2,4,0,0,0,0,1,8,4,0,0,0,2,0,0,0,4,15,17,0,0,0,0,2,0,14,5,0,0,0,0,0,0,0,18,0,0,0,0,5,2,7,0,0,0,6,0,2,0,4,0,0,7,9,0,0,0,0,1,1,8,0,1,0,0,0,13,2,0,0,0,551,36,1.83666666666667,"2019","Proselyte Reef"
"2019-Shark Hotel",30,0,1,0,0,0,21,0,0,0,50,62,0,0,0,0,0,0,0,0,0,0,0,2,8,6,9,0,0,7,0,0,0,2,6,8,0,0,2,1,0,0,4,4,19,10,0,0,9,0,2,1,20,2,0,0,0,0,2,1,0,31,0,0,0,0,0,0,9,0,0,0,5,0,0,0,15,0,0,14,17,0,0,2,0,0,1,20,0,2,0,0,0,2,0,0,0,0,407,38,1.35666666666667,"2019","Shark Hotel"
"2020-Fish Bowl",19,0,0,3,0,4,18,1,0,0,55,64,2,0,0,0,0,0,0,1,0,2,0,0,0,3,2,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,5,0,0,0,10,0,0,2,3,0,0,3,3,0,0,5,0,0,0,14,0,0,0,0,0,0,1,0,0,1,266,32,0.886666666666667,"2020","Fish Bowl"
"2020-Frenchman Reef",34,0,0,0,0,0,14,0,0,0,107,207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,40,0,0,15,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,8,0,1,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,515,22,1.71666666666667,"2020","Frenchman Reef"
"2020-Mikes Mazes",5,0,0,1,0,0,18,0,0,0,0,205,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,279,21,0.93,"2020","Mikes Mazes"
