"Year","Site","Acanthuridae_Density","Labridae_Density","Lutjanidae_Density","Serranidae_Density","Epinephelidae_Density","Carcharhinidae_Density","Dasyatidae_Density","Scaridae_Density"
"2017_pre","Shark Hotel",0.03,0.00666666666666667,0,0,0.0133333333333333,0.00333333333333333,0.00666666666666667,0.03
"2018","Fish Bowl",0.0433333333333333,0,0.356666666666667,0,0.05,0.00333333333333333,0,0.116666666666667
"2018","Frenchman Reef",0.176666666666667,0.0666666666666667,0.176666666666667,0.00666666666666667,0.01,0,0,0.05
"2018","Long Bay Reef",0.0433333333333333,0.03,0.103333333333333,0,0.0433333333333333,0,0,0.1
"2018","Mikes Mazes",0.116666666666667,0.0233333333333333,0.0433333333333333,0,0.0566666666666667,0,0,0.0933333333333333
"2018","Moonscape",0.11,0.0233333333333333,0.08,0.0166666666666667,0.02,0,0,0.0633333333333333
"2018","Proselyte Reef",0.04,0.0333333333333333,0.07,0.00666666666666667,0.03,0.01,0,0.113333333333333
"2018","Shark Hotel",0.0666666666666667,0.0333333333333333,0.0133333333333333,0.00333333333333333,0.0566666666666667,0,0,0.103333333333333
"2019","Fish Bowl",0.0566666666666667,0.0333333333333333,0.126666666666667,0.0266666666666667,0.0966666666666667,0,0,0.13
"2019","Frenchman Reef",0.103333333333333,0.15,0.226666666666667,0.00666666666666667,0.0166666666666667,0,0,0.143333333333333
"2019","Long Bay Reef",0.0766666666666667,0.0133333333333333,0.14,0.01,0.1,0,0,0.133333333333333
"2019","Mikes Mazes",0.183333333333333,0.0466666666666667,0.103333333333333,0.00666666666666667,0.103333333333333,0.00666666666666667,0,0.156666666666667
"2019","Moonscape",0.0666666666666667,0.0266666666666667,0.396666666666667,0.0133333333333333,0.00333333333333333,0,0.00333333333333333,0.103333333333333
"2019","Proselyte Reef",0.06,0,0.08,0,0.0733333333333333,0,0,0.0866666666666667
"2019","Shark Hotel",0.07,0.0533333333333333,0.12,0.00666666666666667,0.1,0.00666666666666667,0,0.173333333333333
"2020","Fish Bowl",0.0733333333333333,0.00666666666666667,0.0633333333333333,0.0166666666666667,0.0133333333333333,0,0,0.0666666666666667
"2020","Frenchman Reef",0.0466666666666667,0.0633333333333333,0,0.00666666666666667,0.00333333333333333,0.00333333333333333,0,0.09
"2020","Mikes Mazes",0.06,0,0.0166666666666667,0,0.01,0,0,0.05
"2020","Moonscape",0.04,0,0.166666666666667,0,0.00666666666666667,0,0.00333333333333333,0.03
"2020","Proselyte Reef",0.206666666666667,0.0366666666666667,0.12,0.03,0.05,0,0,0.0866666666666667
"2020","Shark Hotel",0.113333333333333,0.02,0.08,0.01,0.0166666666666667,0.00333333333333333,0,0.0833333333333333
"2023","Fish Bowl",0.113333333333333,0.566666666666667,0.0133333333333333,0,0.00333333333333333,0.00333333333333333,0,0.0433333333333333
"2023","Frenchman Reef",0.3,0.89,0.00666666666666667,0,0.00666666666666667,0,0,0.136666666666667
"2023","Long Bay Reef",0.06,0.323333333333333,0,0.00333333333333333,0.03,0,0,0.00666666666666667
"2023","Mikes Mazes",0.1,0,0.02,0.00333333333333333,0.0233333333333333,0,0,0.0966666666666667
"2023","Moonscape",0.0666666666666667,0.0733333333333333,0.413333333333333,0,0.0266666666666667,0,0,0.0566666666666667
"2023","Proselyte Reef",0.0166666666666667,0.00666666666666667,0.0733333333333333,0.00666666666666667,0.0366666666666667,0,0,0.0266666666666667
"2023","Shark Hotel",0.0933333333333333,0.0466666666666667,0.02,0.00666666666666667,0.0733333333333333,0,0,0.0766666666666667
