Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
File/sheetname:;D:\CPCe Excel Files\POST I 2017\PRE I 2017 SH.xlsx:Data summary;;;;;;
;;;;;;;
TRANSECT NAME;PRE I 2017 SH;;;;;;
Peyssonnelid (PEY);19;19;19;#DIV/0!;#DIV/0!;0,08;0
Porolithon (POR);0;0;0;#DIV/0!;#DIV/0!;0;0
Sargassum (SARG);0;0;0;#DIV/0!;#DIV/0!;0;0
Schizothrix (SCHIZ);0;0;0;#DIV/0!;#DIV/0!;0;0
Stypopodium (STY);0;0;0;#DIV/0!;#DIV/0!;0;0
Turbinaria (TURB);0;0;0;#DIV/0!;#DIV/0!;0;0
Turf (TURF);362;362;362;#DIV/0!;#DIV/0!;0,37;0,15
Wrangelia (WRAN);0;0;0;#DIV/0!;#DIV/0!;0;0
OTHER LIVE (OL);;;;;;0;0
Ascidian (ASC);0;0;0;#DIV/0!;#DIV/0!;0;0
Cyanobacteria (CYAN);1;1;1;#DIV/0!;#DIV/0!;0;1
Halophylla (HALPH);0;0;0;#DIV/0!;#DIV/0!;0;0
Other (O);0;0;0;#DIV/0!;#DIV/0!;0;0
Tunicate (TSOL);0;0;0;#DIV/0!;#DIV/0!;0;0
DEAD CORAL WITH ALGAE (DCA);;;;;;0;0
Dead coral with algae (DCA);6;6;6;#DIV/0!;#DIV/0!;0;1
Dead gorgonian (DG);0;0;0;#DIV/0!;#DIV/0!;0;0
Old dead coral (ODC);0;0;0;#DIV/0!;#DIV/0!;0;0
Recently dead coral (RDC);0;0;0;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);;;;;;0;0
Coralline algae (CALG);32;32;32;#DIV/0!;#DIV/0!;0;1
DISEASED CORALS (DC);;;;;;0;1
Diseased coral (DCOR);0;0;0;#DIV/0!;#DIV/0!;0;0
SAND, PAVEMENT, RUBBLE (SPR);;;;;;0;0
Pavement (P);0;0;0;#DIV/0!;#DIV/0!;0;0
Rubble (R);0;0;0;#DIV/0!;#DIV/0!;0;0
Sand (S);10;10;10;#DIV/0!;#DIV/0!;0;1
UNKNOWNS (U);;;;;;0;1
Unknown (UNK);0;0;0;#DIV/0!;#DIV/0!;0;0
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;0;0;#DIV/0!;#DIV/0!;;0
Tape (TAPE);0;0;0;#DIV/0!;#DIV/0!;;0
Wand (WAND);0;0;0;#DIV/0!;#DIV/0!;;0
;;;;;;;
NOTES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);6;6;6;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
NOTES (occurring in coral);;;;;;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);6;6;6;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
;;;;;;;
Shannon-Weaver Index;1.3;;;;;;
CORAL (C);0.17;;;;;;
GORGONIANS (G);0.33;;;;;;
SPONGES (S);0.32;;;;;;
ZOANTHIDS (Z);0.02;;;;;;
MACROALGAE (MA);0.35;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0.02;;;;;;
CORALLINE ALGAE (CA);0.07;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0.03;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Simpson Index of Diversity (1-D);0.66;;;;;;
CORAL (C);0;;;;;;
GORGONIANS (G);0.04;;;;;;
SPONGES (S);0.04;;;;;;
ZOANTHIDS (Z);0;;;;;;
MACROALGAE (MA);0.25;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
